Tweets,Subjectivity,Polarity,Analysis
"5  India made such a progress due to Peace, Unity and Development Rally.. Now every Indian get proper meal.. Hardly anyone is jobless.. Prices of gas is all time low.. 24x7 electricity in whole India.. Pure air and pure water even in gutter.. Modiji made India best🙏🙏🙏🙏",0.40208333333333335,0.026488095238095234,Positive
"- LG, Mitsubishi Electric, Adani Copper Tubes, Jindal Poly films, Crompton Greaves, Wipro, Zeco Aircon, Starion India &amp; Swaminathan Enterprises are among companies which have applied for manufacturing components of Air conditioners and LED Lights

 ",0.0,0.0,Neutral
"🔴Air India Airport Services Limited AIASL Recruitment
▪️Post - Executives/Handyman (Ground Duty) 
▪️Salary - Rs 25,300 pm
▪️Age Limit - (18-28)
▪️Last Date - 27-04-2022
👉Apply Here =&gt; 
👉Telegram Link =&gt; 

airindia recruitment ",0.14285714285714285,-0.07142857142857142,Negative
India needs more full service Airlines like Jet Airways and the new Air India under the Tatas to be there and the market to not remain just of low cost carriers like Indigo and Spicejet.,0.45113636363636367,0.24659090909090908,Positive
"In Spotlight today

Topic: जम्‍मू-कश्‍मीर के परिवर्तन की श्रृंखला में प्रस्‍तुत है विशेष कार्यक्रम – जम्‍मू-कश्‍मीर, एक नई सुबह

🔴LIVE on FM GOLD📻and News On AIR📱App from 09:15⏰PM

Also on: 

🎙️Stay Tuned |  | _India | _India |  ",0.0,0.0,Neutral
": भारत में इस साल बेहद खतरनाक है गर्म हवा के थपेड़े, किस राज्य में कितनी आई हीट वेव... जानें

HeatwaveInIndia IMD HeatWave…",0.0,0.0,Neutral
23232726  Number doesn't work as usual. Please take this up on priority and ask your customer support to call us on the number I have DM to air india,0.25,-0.25,Negative
": ICYMI: The beauty queen was fetched by Narvacan, Ilocos Sur Mayor Luis “Chavit” Singson from her homeland India using h…",0.0,0.0,Neutral
" Dear Sir, you are allowed to carry 1 additional laptop bag along with one piece of hand baggage weighing not more than 8 kg for Air India flights. Kindly refers to the link  for further details.",0.6333333333333333,0.11666666666666665,Positive
"NewsAlert | Akasa Air, India’s newest carrier, will begin commercial operations in July. ",0.0,0.0,Neutral
" no change in Air India.
Our flight to Newark is delayed by 36 hours.
And Air India not helping us to go on an earlier flight.

Do not use Air India nothing has changed.",0.5,0.0,Neutral
"1aneGuy Have been to Boeing and Air India's MRO in Nagpur....
The overall place is just WOW",0.5,0.05,Positive
": A short history of the Indian Navy’s air wing and its service rendered to the nation, both during war and peace.

",0.3,0.0,Neutral
"ICYMI: The beauty queen was fetched by Narvacan, Ilocos Sur Mayor Luis “Chavit” Singson from her homeland India using his private plane Air Beauty One. MissUniversePhilippines2022 | via 

",0.375,0.0,Neutral
"_84: Bihar Air Pollution: बिहार का सबसे गंदा शहर बना दरभंगा, हवा सबसे ज्यादा प्रदूषित 
 
 
…",0.0,0.0,Neutral
"_F Yes we are! 🙏 India and Pakistan especially this region because of Himalayas, are both benificial and harmed, we have three sides costal border, all air, heat waves generated, come back to the region again after colliding with mighty Himalayas! Climate change serious for Asians!",0.6416666666666666,0.020833333333333343,Positive
"Marketplace: HORPIN New Airtight Container Jar Set For Kitchen - 900ml Set Of 6, Jar Set For Kitchen, Kitchen Organizer Container Set Items, Air Tight Containers For Kitchen Storage, Made In India (Aqua Green): 

Made of BPA-free Certified
maaukitchenn ",0.34675324675324676,-0.08073593073593074,Negative
Best air cooler in india | Orient Toanado CD8801H with 88 L Water Tank Capacities ,0.3,1.0,Positive
"A short history of the Indian Navy’s air wing and its service rendered to the nation, both during war and peace.

",0.3,0.0,Neutral
: Air India goes to Tata and the land goes to Adani?,0.0,0.0,Neutral
"ICYMI: The beauty queen was fetched by Narvacan, Ilocos Sur Mayor Luis “Chavit” Singson from her homeland India using his private plane Air Beauty One. MissUniversePhilippines2022

",0.375,0.0,Neutral
"A bloody air battle, afterward, an Indian fighter pilot spies a disabled Iranian fighter plane flying over no-man's land between India and Pakistan &amp; prepares to attack. Appearances can be deceiving! ",0.6,-0.525,Negative
 Air india,0.0,0.0,Neutral
"NewsAtCSC | We are excited to share with you that Cargo Service Center India Pvt. Ltd. is nominated as "" Cargo Ground Handler of the year – Region India"" in the STAT Times International Awards 2022.
The voting link:


aircargo logistics supplychain ",0.2833333333333333,0.09166666666666667,Positive
": If Manipal hospital has 4 patients, the hospitals in North India- where cow dung was burnt in tons for Holika Dahan, and t…",0.16666666666666666,-0.13333333333333333,Negative
"4X: As warned by the Great Visionary, Dr. 39 Ji..
              👇👇👇👇👇👇👇👇👇
Air India loses preferential access to bilateral…",0.425,0.25,Positive
"Trip Report: Flying on Air India after the Tata takeover. AI 665 DEL-BOM
",0.0,0.0,Neutral
"62: India is not on invitation list for high-level military meeting on Ukraine, to be hosted today in Ramstein Air Force Base, Ger…",0.55,-0.45,Negative
:   _Scindia I am literally frustrated following up with Makemytrip and air India for the refund. I ha…,0.15000000000000002,-0.35,Negative
"Glad Dr. Santhosh asked about cow dung exposure to the patients. Certainly a step forward. But, while direct exposure is a risk, in India, the spores are likely spreading through the air. from burning dung. Hence patients with no direct contact with cows will also get infected.",0.5896825396825397,0.10515873015873016,Positive
"If Manipal hospital has 4 patients, the hospitals in North India- where cow dung was burnt in tons for Holika Dahan, and the air must have been thick with Mucorales spores - will certainly be having more. 

Thank you, , for this report. 

  ",0.4282738095238095,0.07023809523809524,Positive
"52333133: At a meeting of defense ministers from more than 40 countries at the US Ramstein Air Base in Germany, US Secretary of De…",0.75,-0.15000000000000002,Negative
: Pathetic customer support by   and  . My flight was cancelled in Mar'2022 &amp; still haven't received an…,1.0,-1.0,Negative
" I plan to book ICN — MAA , and the connecting flight at new delhi is 1 hr 55 mins apart and it also shows terminal change . Does air india support passengers to prioritize with domestic transit ?",0.2772727272727273,0.06818181818181818,Positive
" Cant explain d torture &amp; harassment v faced on 24/4 @ d hands of Air India .They told us our connecting flight AI607 was cancelled when it was not.Suffered 4 hours @ BOM with an infant &amp; a differently-abled kid 
",0.0,0.0,Neutral
"Pathetic customer support by   and  . My flight was cancelled in Mar'2022 &amp; still haven't received any refund. Endless looping between both customer care helplines, with no way out.   is this the new normal for Air India?",0.7136363636363636,-0.2096590909090909,Negative
": “No one can serve two masters.Either he will hate the one and love the other, or he will be devoted to the one and despi…",0.625,-0.1416666666666667,Negative
 local police ka kahana Hai Air India Walon ke khilaf kaarvayi karai jaaye ticket karne walon ke khilaf koi karyvahi Nahin Hoti jab case Mein ticket karne wala hi apraadhi hai,0.0,0.0,Neutral
"Bihar Air Pollution: बिहार का सबसे गंदा शहर बना दरभंगा, हवा सबसे ज्यादा प्रदूषित 
 
 
_dm 
3 
_IAS 
_saraogi 
 
 via",0.0,0.0,Neutral
"62: India is not on invitation list for high-level military meeting on Ukraine, to be hosted today in Ramstein Air Force Base, Ger…",0.55,-0.45,Negative
": “No one can serve two masters.Either he will hate the one and love the other, or he will be devoted to the one and despi…",0.625,-0.1416666666666667,Negative
"At a meeting of defense ministers from more than 40 countries at the US Ramstein Air Base in Germany, US Secretary of Defense Lloyd Austin said that partner countries had already raised about $ 5 billion in military aid to ...
Ukraine EU European US CINA INDIA ",0.4,-0.1,Negative
: The Indian Air Force has carried out extensive resurfacing work on the runway of Bagdogra airfield enabling civil aircraft to…,0.3333333333333333,0.0,Neutral
": A national level Logistics seminar is being organised by IAF on 28 Apr 2022 at Air Force Auditorium, New Delhi. The seminar wi…",0.45454545454545453,0.13636363636363635,Positive
": “No one can serve two masters.Either he will hate the one and love the other, or he will be devoted to the one and despi…",0.625,-0.1416666666666667,Negative
Good night India gets one moth extention means is this also going off air 😮😮MaddamSir,0.6000000000000001,0.7,Positive
" , 
 , 
Dear all pls strictly prohibited and strong all india air Port ,bus stop,all horber  city area strong strictly LOCAL DC pass msgs avoid karona ivwave  otherwise central govt suffering money sending pls pls avoid starting stge",0.36333333333333334,0.1733333333333333,Positive
"The Indian Air Force has carried out extensive resurfacing work on the runway of Bagdogra airfield enabling civil aircraft to resume operations from the morning of 26 April 2022.

 _MCC _India ",0.3333333333333333,0.0,Neutral
"“No one can serve two masters.Either he will hate the one and love the other, or he will be devoted to the one and despise the other. You cannot serve both..""

So  can rely on China,not India!

By d by, d Air Force Base is ours which was called as Ramsita duringTretaYuga😏😏 ",0.65,-0.27625,Negative
"A national level Logistics seminar is being organised by IAF on 28 Apr 2022 at Air Force Auditorium, New Delhi. The seminar will be inaugurated by the CAS.

 _MCC _India",0.45454545454545453,0.13636363636363635,Positive
 it’s commendable that you’ve pulled up SpiceJet and air India for their shabby aircrafts. But please look into this complaint of mine posted months ago and the apathy of 6E towards its customers,0.2,-0.3,Negative
"AIC150 VT-ANP Boeing 787 8 Air India: 2.2 mi away @ 4800 ft and 22.0° frm hrzn, heading E @ 291.6mi/h 13:43:25. OverPutney Putney SW15 ADSB tar1090 ",0.0,0.0,Neutral
"AIR COMPERSSOR VSDs MODEL LAUNCHED IN INDIA.

We are happy to share  ..For more info visit... ",0.75,0.65,Positive
"  So with this change, is it advisable to join the air india frequent flyer program?",0.3,0.1,Positive
"_Faridabad     _Faridabad    _India  77  Who will clear this killer air sponcered by MCF, our MLA, our MP, our CM to us  पहाड़ी",0.3833333333333333,0.10000000000000002,Positive
